Month,Reported by,Falls within,Easting,Northing,Location,Crime type,Context
2011-02,West Midlands Police,West Midlands Police,400458.0,293233.0,On or near Essex Avenue,Violent crime,
2011-02,West Midlands Police,West Midlands Police,415585.0,280920.0,On or near Wharf Lane,Other crime,
2011-02,West Midlands Police,West Midlands Police,417959.0,287982.0,On or near Newby Grove,Other crime,
2011-02,West Midlands Police,West Midlands Police,405986.0,286293.0,On or near Sandy Way,Other crime,
2011-02,West Midlands Police,West Midlands Police,405523.0,288301.0,On or near Hurdlow Avenue,Robbery,
2011-02,West Midlands Police,West Midlands Police,410607.0,292125.0,On or near Balmoral Road,Other crime,
2011-02,West Midlands Police,West Midlands Police,428799.0,278945.0,On or near Ferrers Close,Other crime,
2011-02,West Midlands Police,West Midlands Police,428609.0,277944.0,On or near Robert Cramb Avenue,Burglary,
2011-02,West Midlands Police,West Midlands Police,431268.0,277703.0,On or near Woodfield Road,Other crime,
2011-02,West Midlands Police,West Midlands Police,434460.0,280559.0,On or near Peel Street,Violent crime,
2011-02,West Midlands Police,West Midlands Police,391228.0,297021.0,On or near Cross St. South,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,407520.0,295579.0,On or near Surrey Road,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,399343.0,296462.0,On or near Poplar Road,Other crime,
2011-02,West Midlands Police,West Midlands Police,394508.0,293798.0,On or near Broad Street,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,396968.0,296651.0,On or near Partridge Avenue,Burglary,
2011-02,West Midlands Police,West Midlands Police,431998.0,276562.0,On or near Grasmere Avenue,Other crime,
2011-02,West Midlands Police,West Midlands Police,396438.0,295856.0,On or near High Street,Other crime,
2011-02,West Midlands Police,West Midlands Police,411685.0,282765.0,On or near Coppice Drive,Other crime,
2011-02,West Midlands Police,West Midlands Police,411281.0,276501.0,On or near Old Dickens Heath Road,Burglary,
2011-02,West Midlands Police,West Midlands Police,401367.0,298776.0,On or near Hatherton Road,Violent crime,
2011-02,West Midlands Police,West Midlands Police,393530.0,296842.0,On or near Sidwick Crescent,Violent crime,
2011-02,West Midlands Police,West Midlands Police,400681.0,298215.0,On or near Queen Street,Other crime,
2011-02,West Midlands Police,West Midlands Police,404996.0,278591.0,On or near Masshouse Lane,Violent crime,
2011-02,West Midlands Police,West Midlands Police,400510.0,302014.0,On or near Stanley Street,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,407561.0,286618.0,On or near Allison Street,Other crime,
2011-02,West Midlands Police,West Midlands Police,434116.0,279125.0,On or near Lower Ford Street,Burglary,
2011-02,West Midlands Police,West Midlands Police,414919.0,286904.0,On or near Mirfield Road,Violent crime,
2011-02,West Midlands Police,West Midlands Police,436010.0,282010.0,On or near Sibton Close,Violent crime,
2011-02,West Midlands Police,West Midlands Police,429862.0,278248.0,On or near Eastcotes,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,401909.0,288576.0,On or near Lowry Close,Other crime,
2011-02,West Midlands Police,West Midlands Police,409353.0,282613.0,On or near Pickwick Grove,Other crime,
2011-02,West Midlands Police,West Midlands Police,438612.0,278198.0,On or near Twickenham Way,Burglary,
2011-02,West Midlands Police,West Midlands Police,402944.0,287786.0,On or near Salisbury Road,Other crime,
2011-02,West Midlands Police,West Midlands Police,400037.0,290936.0,On or near Richard Street South,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,400431.0,302801.0,On or near Lichfield Road,Other crime,
2011-02,West Midlands Police,West Midlands Police,410408.0,288839.0,On or near Warren Road,Robbery,
2011-02,West Midlands Police,West Midlands Police,390466.0,299587.0,On or near Bargate Drive,Other crime,
2011-02,West Midlands Police,West Midlands Police,413923.0,291226.0,On or near Brabazon Grove,Other crime,
2011-02,West Midlands Police,West Midlands Police,415634.0,280618.0,On or near Newfield Close,Other crime,
2011-02,West Midlands Police,West Midlands Police,407380.0,281370.0,On or near Alcester Road South,Other crime,
2011-02,West Midlands Police,West Midlands Police,400262.0,291315.0,On or near Lombard Street West,Other crime,
2011-02,West Midlands Police,West Midlands Police,402479.0,289651.0,On or near Moyses Croft,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,404943.0,283197.0,On or near Arley Road,Other crime,
2011-02,West Midlands Police,West Midlands Police,400212.0,290949.0,On or near Moor Street,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,407177.0,286689.0,On or near Worcester Street,Other crime,
